# The package container, as an open-source extractor reads it and as three current-generation
# packages actually are.
# Columns: struct, field, offset, size, type, value, note
#
# read-from: prosperity@3475257  tools/pkg_extract/pkg_extract.py  Python  reader
#            shadPS4@be21649     src/core/file_format/pfs.h        C++     reader (inner filesystem)
#            LibOrbisPkg@6434772 LibOrbisPkg/PlayGo/ChunkDat.cs      C#      WRITER  (playgo_* rows)
#            shadPS4@be21649     src/core/file_format/playgo_chunk.h C++     reader  (playgo_* rows)
#
# confirmed-against: titles/PS5_ITEM00001_v1.14.pkg
#                    titles/PS5_LAPY20011_v1.05.pkg
#                    titles/Store-R2-PS5.pkg
#
# **Two different activities, and the order between them is the whole provenance argument.**
# Structure comes from source that can be named. The packages then *confirm or refute* it,
# and rows marked `measured` are ones they settled. Deriving the structure from the packages
# would be the thing principle 6 forbids; using them to check a structure taken from source
# is what `derive` already does to a finished module. (orbistoun#D181, orbistoun#D182)
#
# # Big-endian, unlike everything else here
#
# # The entry names come from LibOrbisPkg, and the derivations came first
#
# `LibOrbisPkg` (maxton) is an open-source PS4 packaging tool — a **writer**, which is what
# unblocked the container format too. `LibOrbisPkg/PKG/Enums.cs` names every entry id and
# `PKG/PkgBuilder.cs` says how each is produced. This repository already trusted that project
# for the fake keyset; the names below come from the same place.
#
# Worth recording in this order because it happened in this order: `0x1`, `0x100`, `0x80` and
# `0x1002` were derived from packages *before* the source was read, and the source then agreed
# with all four — `DIGESTS`, `METAS`, `GENERAL_DIGESTS`, `PLAYGO_CHUNK_SHA`. A derivation that
# survives meeting its source is worth more than either alone.
#
# # Two rows here were DERIVED rather than cited, and can be re-checked
#
# `entry_content` rows `0x1` and `0x100` came from no source. They were established by stating
# a hypothesis a machine can falsify and running it against every package available, which is
# the same method that settled the vendor dynamic tags (`RELA + RELASZ == HASH`) and a
# current-generation tag by counting.
#
# **Re-run it yourself**: `selfish derive <package> <package> ...`. It reports how many samples
# each claim survived and exits non-zero if any fails. Three packages backed both when written;
# more packages can only strengthen or kill them, and either is worth knowing.
#
# Both are *computable*, which is why they were worth chasing: a writer can produce them from
# data it already holds. The remaining four unknown entries are not, and are not guessed at.
#
# The SELF container is little-endian throughout. This one is not: magic, counts and offsets
# are all big-endian. A reader that assumes one convention across both formats gets a
# plausible-looking entry count in the tens of millions.
#
# # Every reference found is previous-generation, and the packages are not
#
# The extractor says so in its own header. That makes this table unusual for the project:
# the *structure* is previous-generation and the *confirmation* is current, so where they
# agree is evidence the format did not change, and any place they disagree is a finding
# nobody here has published. So far they agree on everything checked.
#
# # What a package actually contains
#
#   .pkg  ->  header + entry table
#         ->  PFS image at a fixed 0x700000, AES-XTS encrypted under ekpfs
#         ->  block 11 of that holds a PFSC (zlib-compressed) inner image
#         ->  inner PFS: the real filesystem, each executable an fSELF
#
# Four nested formats, not one container. Recovering `ekpfs` needs RSA-2048, SHA-256 and
# AES-CBC before any of the above can be read, and the inner filesystem needs AES-XTS and
# zlib on top. The keys are the public fake-package keyset; retail packages use a key
# nobody outside the vendor has and are out of scope in the same way retail signing is.
#
#
# # A row here that was wrong, and how
#
# `pfs_image_offset` was recorded as a fixed `0x700000` — taken from a previous-generation
# extractor and "confirmed" by finding high-entropy data at that offset in all three samples.
# That confirmed nothing: in an encrypted package almost every offset holds high-entropy data,
# so the check could not have come out any other way.
#
# The real values are `0x80000`, `0x580000` and `0x80000`, and the offset is a header field.
# The corrected rows are below. The lesson is recorded here rather than quietly fixed, because
# the failure was in the method rather than the number: the search asked whether a value that
# was already believed appeared in the header, and treated its absence as support. (D011)
#
# # Every container inside these packages is previous-generation
#
# Thirty-three of them, across all three samples, and not one carries the current generation's
# magic — including a working homebrew store for the current console. Retail material uses the
# newer format; community tooling emits the older one and the loader takes it. (D010)
#
# # Still unknown
#
# Most of the header. Only three fields are named below because only three are used by the
# reader this came from, and inventing names for the rest would be worse than leaving the
# gap visible. The body between the entry table and 0x700000 is likewise undescribed.
#
struct	field	offset	size	type	value	note
entry_record	id	0x00	4	u32be	-	measured: all three
entry_record	name_offset	0x04	4	u32be	-	offset into the name table at entry 0x200
entry_record	flags1	0x08	4	u32be	-	bit 31 marks the entry encrypted. measured on 0x20/0x400/0x401
entry_record	flags2	0x0C	4	u32be	-	bits 12-15 are the key index. measured: 0x20 and 0x400 declare 3, 0x401 declares 2
entry_record	offset	0x10	4	u32be	-	measured: all three
entry_record	size	0x14	4	u32be	-	measured: all three
entry_record	(size)	-	0x20	size	-	the last 8 bytes are zero in every entry examined
pkg_header	magic	0x0	4	u32be	0x7F434E54	bytes 7F 43 4E 54, ASCII \x7fCNT. measured: all three
pkg_header	entry_count	0x10	4	u32be	-	measured: 14, 23, 14
pkg_header	entry_table_offset	0x18	4	u32be	0x2A80	measured: identical in all three, but read rather than assumed
pkg_entry	id	0x0	4	u32be	-	see the entry_id rows
pkg_entry	offset	0x10	4	u32be	-	from the start of the file
pkg_entry	size	0x14	4	u32be	-	
pkg_entry	(size)	-	0x20	-	-	
entry_id	0x1	-	-	value	0x1	measured: present in all three
entry_id	0x10	-	-	value	0x10	entry keys. The reader decrypts bytes 0x400..0x500 of this
entry_id	0x20	-	-	value	0x20	image key. Its table row is hashed with dk3 to make the AES key
entry_id	0x80	-	-	value	0x80	measured: present in all three
entry_id	0x100	-	-	value	0x100	measured: present in all three
entry_id	0x200	-	-	value	0x200	measured: present in all three
entry_id	0x400	-	-	value	0x400	measured: present in all three
entry_id	0x401	-	-	value	0x401	measured: present in all three
entry_id	0x409	-	-	value	0x409	measured: present in all three
entry_id	0x1000	-	-	value	0x1000	measured: present in all three
entry_id	0x1001	-	-	value	0x1001	measured: present in all three
entry_id	0x1002	-	-	value	0x1002	measured: present in all three
entry_id	0x1003	-	-	value	0x1003	measured: present in all three
entry_id	0x1200	-	-	value	0x1200	measured: present in all three
optional_id	0x1004	-	-	value	0x1004	measured: one of three
optional_id	0x1005	-	-	value	0x1005	measured: one of three
optional_id	0x1006	-	-	value	0x1006	measured: one of three
optional_id	0x100b	-	-	value	0x100b	measured: one of three
optional_id	0x100d	-	-	value	0x100d	measured: one of three
optional_id	0x1220	-	-	value	0x1220	measured: one of three
optional_id	0x1280	-	-	value	0x1280	measured: one of three
optional_id	0x12a0	-	-	value	0x12a0	measured: one of three
optional_id	0x12c0	-	-	value	0x12c0	measured: one of three
pkg_header	image_offset	0x410	8	u64be	-	measured: 0x80000, 0x580000, 0x80000. NOT the 0x700000 a previous-generation extractor hardcodes
pkg_header	image_offset_mirror_a	0x7C	4	u32be	-	the same value; three samples cannot rank the three so all are recorded
pkg_header	image_offset_mirror_b	0x414	4	u32be	-	the low half of the u64 at 0x410
layout	pfsc_block	-	-	value	11	the compressed inner image sits at this block of the outer filesystem
crypto	image_key_entry	-	-	value	0x20	AES-CBC, key = sha256(entry_row || dk3)[16:32], iv = the first 16 bytes
crypto	entry_keys_entry	-	-	value	0x10	dk3 = RSA(bytes 0x400..0x500 of this entry)
crypto	rsa_bits	-	-	value	2048	public fake-package keyset, from LibOrbisPkg by way of the extractor
crypto	inner_cipher	-	-	value	AES-XTS	the filesystem itself
crypto	inner_compression	-	-	value	zlib	the PFSC layer
pfs_superblock	mode	0x1C	2	u16	0xD	measured: identical in all three. signed | encrypted | one unnamed bit
pfs_superblock	block_size	0x20	4	u32	0x10000	measured: identical in all three
pfs_superblock	inode_count	0x30	8	u64	-	measured: 4 in all three
pfs_superblock	inode_blocks	0x40	8	u64	-	measured: 1 in all three
pfs_superblock	seed	0x370	16	bytes	-	hashed with the filesystem key to derive the XTS keys
pfs_superblock	(size)	-	0x400	-	-	
pfs_mode	signed	-	-	bit	0x1	inodes carry signatures, which makes them larger
pfs_mode	is_64bit	-	-	bit	0x2	
pfs_mode	encrypted	-	-	bit	0x4	
pfs_inode	kind	0x0	2	u16	-	0x4000 marks a directory, 0x8000 a file, low bits are permissions
pfs_inode	size	0x8	8	u64	-	
