# PARAM.SFO - the title metadata table, as two independent open-source projects read and
# write it.
# Columns: struct, field, offset, size, type, value, note
#
# read-from: pfd_sfo_tools  sfopatcher/src/sfo.{c,h}     C     READER + WRITER  [commit unrecorded]
#            ps5upload      engine/crates/ps5upload-pkg  Rust  reader + writer  [commit unrecorded]
#
# Both are public projects and the file paths are the reproduction path. Their commits were not
# recorded and are not guessed.
#
# The two sources, written years apart in different languages, agree on every field.
#
# The layout rows are measured, not cited. The C writer pads the key table so the whole file is
# a multiple of sixteen; no real file does. Eleven files were checked (three Prospero-generation
# packages, two Orbis-generation toolchain samples, six older-generation titles and saves): each
# pads the key table to a multiple of four and ends where its last value ends, and all eleven
# round-trip byte for byte. The refuted rule is kept as a row. No vendor binary was read to
# produce this table; real files confirm rows and never derive them.
#
# The version is recorded as the four bytes both sources write, `01 01 00 00` (1.1), not as an
# integer whose width a writer could get wrong.
#
# The structure is generation-independent. Which keys a title carries is content, not format,
# and is not in this table; Prospero-generation titles also carry `param.json`.
#
struct	field	offset	size	type	value	note
header	magic	0	4	bytes	00 50 53 46	"\0PSF", little-endian 0x46535000
header	version	4	4	bytes	01 01 00 00	1.1; both sources write exactly this
header	key_table_offset	8	4	u32		absolute, from the start of the file
header	data_table_offset	12	4	u32		absolute, from the start of the file
header	entry_count	16	4	u32		number of index entries
header	size	0	20	size		the header is twenty bytes
index	key_offset	0	2	u16		relative to key_table_offset
index	format	2	2	u16		see the format rows below
index	length	4	4	u32		bytes actually used, including any terminator
index	max_length	8	4	u32		bytes reserved; >= length, and what a writer emits
index	data_offset	12	4	u32		relative to data_table_offset
index	size	0	16	size		one index entry is sixteen bytes
format	utf8_special	0	2	u16	0x0004	UTF-8, NOT null-terminated. PS3 saves use it
format	utf8	0	2	u16	0x0204	UTF-8, null-terminated. What almost everything uses
format	integer	0	4	u32	0x0404	a little-endian u32
layout	key_table_start	0	0	rule		header size + entry_count * index size
layout	data_table_start	0	0	rule		key_table_start + padded key table length
layout	key_table_alignment	0	4	rule	4	the key table is padded to a four-byte multiple
layout	file_alignment	0	0	rule	0	NONE. the file ends where the last value ends
layout	refuted_rule	0	16	rule	16	pfd_sfo_tools pads the file to 16. no real file does
